scientific_name_.check.,source,scientific_name_.original.,name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,grains,outline,ornamentation,shorter_diameter_min,shorter_diameter_max,shorter_diameter_mean,longer_diameter_min,longer_diameter_max,longer_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,voucher,herbarium,herbarium_code
Anadenanthera colubrina,Freitas-Cruz - 2018 / Ribeiro - 2018,Anadenanthera colubrina ,Anadenanthera_colubrina,Anadenanthera,colubrina,NA,Species,16,circular&elliptical,areolate&rugulate,32.5,47.5,39,32.5,47.5,38.8,2,2,2,DM Calmon 221 / LP Queiroz s.n. /  s.col. / Lacerda 262 / Lacerda 268 / Melo 3744,R / R / R / HUEFS / HUEFS / HUEFS,ALCB 75760 (DM Calmon 221) / HUEFS 112288 / HUEFS 112292 / HUEFS 91632
Gwilymia coriacea,Barduzzi et al. / Guinet & Caccavari - 1992,Stryphnodendron coriaceum / Stryphnodendron piptadenioides,Gwilymia_coriacea,Gwilymia,coriacea,NA,Species,16,elliptical&oval,verrucate,30.8,30.8,30.8,34.1,34.1,34.1,1,1,1,"M. A. Silva 1472,  T. S. Filgueiras, J.W.B. Machado, A. L. Brochado / Lima 13302",ESA / RFA,ESA 88712 / RFA 17172
Gwilymia fissurata,Caccavari - 2002 / Guinet & Caccavari - 1992,Stryphnodendron fissuratum,Gwilymia_fissurata,Gwilymia,fissurata,NA,Species,16,oval,NA,40.5,NA,40.5,NA,58.6,63.3,NA,NA,1.8,Eiten et al. 8956 / Eiten & Eiten 8956,SP / SP,SP 129687 / SP 129687
Gwilymia moricolor,Guinet & Caccavari - 1992,Stryphnodendron moricolor ,Gwilymia_moricolor,Gwilymia,moricolor,NA,Species,16,elliptical&oval,areolate&fossulate,44.5,44.5,44.5,57.6,57.6,57.6,1.5,2,1.75,Mori & Boom 15236,CAY,NA
Gwilymia occhioniana,Guinet & Caccavari - 1992,Stryphnodendron occhionianum ,Gwilymia_occhioniana,Gwilymia,occhioniana,NA,Species,8,elliptical&oval,verrucate,31.1,31.1,31.1,47.9,47.9,47.9,1.4,2,1.7,Oliveira 997,RB,NA
Gwilymia paniculata,Guinet & Caccavari - 1992,Stryphnodendron paniculatum / Stryphnodendron rizzinianum ,Gwilymia_paniculata,Gwilymia,paniculata,NA,Species,16,oval,areolate&fossulate,36.2,36.2,NA,44.5,44.5,44.5,1.5,2,1.75,Ducke s.n. (5.07.1936) / Krukoff 6441 / Ducke s.n. (7.11.1935),US / RB / RB,US 1694148 / RB 32083 / RB 29044
Gwilymia polystachya,Guinet & Caccavari - 1992,Stryphnodendron polystachyum ,Gwilymia_polystachya,Gwilymia,polystachya,NA,Species,8,elliptical&oval,verrucate,32,32,34.1,46.6,46.6,46.6,1.4,2,1.7,Irwin et al. 48381 / Irwin et al. 55179,NY / NY,NA
Gwilymia racemifera,Guinet & Caccavari - 1992,Stryphnodendron racemiferum ,Gwilymia_racemifera,Gwilymia,racemifera,NA,Species,16,elliptical&oval,areolate&reticulate,35.4,35.4,34.1,55,55,55,1.5,2,1.75,Prance et al. 3613,K,NA
Inga edulis,Almeida Braga - 2012,Inga edulis ,Inga_edulis,Inga,edulis,NA,Species,32,NA,verrucate,50,50,50,100,100,100,1.7,1.7,1.7,?,RBR,NA
Lachesiodendron viridiflorum,Barduzzi et al.,Lachesiodendron viridiflorum ,Lachesiodendron_viridiflorum,Lachesiodendron,viridiflorum,NA,Species,8,NA,NA,18,32,24.071,26,44,35.739,0.66,1.044,0.852,A. Salino 3306 / Carvalho 3953 / Queiroz 7828 / Salino 3306,ESA / HUEFS / HUEFS / HUEFS,HUEFS 35810 / HUEFS 16194 / HUEFS 72586 / HUEFS 35810
Marlimorimia bahiana,Caccavari - 2002 / Ribeiro - 2018,Pseudopiptadenia bahiana,Marlimorimia_bahiana,Marlimorimia,bahiana,NA,Species,16,oval,psilate,27.5,37.5,32.7,30,50,40.575,1,1,1,Mori et King 12188 / Queiroz 9574 / Queiroz 9970 / Queiroz 9989,RB / HUEFS / HUEFS / HUEFS,US 2857049 / HUEFS 86067 / HUEFS 91287 / HUEFS 91307
Marlimorimia contorta,Barduzzi et al. / Caccavari - 2002 / Ribeiro - 2018,Pseudopiptadenia contorta,Marlimorimia_contorta,Marlimorimia,contorta,NA,Species,16,oval,psilate,16.872,37.5,27.513,30,47.5,37.52,0.209,0.376,0.293,Francisco de S. N. Thomé 03 / Ortandi 305 / Hatschbach 35398 / Queiroz 3700 / Queiroz 4234,ESA / RB / HUEFS / HUEFS / HUEFS,UB 140360 / HUEFS 146828 / HUEFS 14919 / HUEFS 18663
Marlimorimia psilostachya,Caccavari - 2002,Pseudopiptadenia psilostachya ,Marlimorimia_psilostachya,Marlimorimia,psilostachya,NA,Species,16,oval,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,A. Ducke 15334,RB,NA
Marlimorimia warmingii,Barth & Yoneshigue - 1966,Newtonia glaziovii,Marlimorimia_warmingii,Marlimorimia,warmingii,NA,Species,12&16,elliptical&oval,psilate,33.6,42,37.8,40,52.5,46.25,NA,NA,2.5,Reitz e Klein 5608,HBR,HBR 25859
Microlobius foetidus,Barduzzi et al. / Caccavari - 2002,Microlobius foetidus / Microlobius foetidus subs. paraguensis ,Microlobius_foetidus,Microlobius,foetidus,NA,Species,8,oval,verrucate scabrate,14.038,21.8,17.275,18.232,33.311,24.679,0.148,0.295,0.222,A. M. de Almeida 236 / Rojas 1787,CEN / SI,CEN 89347 / MO 2187576
Mimosa irrigua,Lima - 2008,Mimosa irrigua ,Mimosa_irrigua,Mimosa,irrigua,NA,Species,8,NA,areolate&verrucate,12,14,13.1,17.5,20,18.5,1,1,1,M.L.S. Guedes et al. 7961,HUEFS,HUEFS 55081
Mimosa lepidophora,Lima - 2008,Mimosa lepidophora ,Mimosa_lepidophora,Mimosa,lepidophora,NA,Species,12,NA,areolate,16,21,18.6,21,24,22.7,1.1,1.1,1.1,L.P. Queiroz et al. 9666,HUEFS,NA
Mimosa pithecolobioides,Lima - 2008 / Liau-Kang et al. 2024,Mimosa pithecolobioides,Mimosa_pithecolobioides,Mimosa,pithecolobioides,NA,Species,12,elliptical,areolate,14,21.328,16.969,21,25,23.174,0.144,1,0.307,J.G. Jardim et al. 3274,HUEFS,NA
Mimosa watsonii,Medina-Acosta-2018,Mimosa watsonii ,Mimosa_watsonii,Mimosa,watsonii,NA,Species,12,elliptical,microverrucate&rugulate,14.54,14.54,14.54,20.7,20.7,20.7,0.75,0.75,0.75,E. Martínez S. et al. 5797 / R. Torres C. et al. 7615 / E. Ventura et al. 2660,UAMIZ10551 / UAMIZ16109 / UAMIZ30668,NA
Naiadendron duckeanum,Guinet & Caccavari - 1992,Stryphnodendron duckeanum ,Naiadendron_duckeanum,Naiadendron,duckeanum,NA,Species,16,elliptical&oval,psilate&verrucate,26.3,26.3,26.3,36.6,36.6,36.6,0.8,1,0.9,"Ducke s.n. (9.06.1930, isotype) / Monteiro et al. 929",RFA / INPA,NA
Parapiptadenia blanchetii,Caccavari - 2002 / Ribeiro - 2018,Parapiptadenia blanchetii ,Parapiptadenia_blanchetii,Parapiptadenia,blanchetii,NA,Species,16,oval,psilate,22.5,30,26.3,25,47.5,31.275,1,1,1,Blanchet Typus! 3295 / Grupo Pedra do Cavalo 1096 / Lemos 56 / Melo 1410,RB / HUEFS / HUEFS / HUEFS,NY 3202 / HUEFS 1090 / HUEFS 2750 / HUEFS 24846
Parapiptadenia excelsa,Caccavari - 2002,Parapiptadenia excelsa ,Parapiptadenia_excelsa,Parapiptadenia,excelsa,NA,Species,12,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,J. Santos Biloni 4016,SI,NA
Parapiptadenia pterosperma,Caccavari - 2002 / Freitas-Cruz - 2018,Parapiptadenia pterosperma / Piptadenia pterosperma,Parapiptadenia_pterosperma,Parapiptadenia,pterosperma,NA,Species,16,circular,rugulate,25,35,29.1,31.5,40,37.55,NA,NA,2,Campos Porto 2481 / RD Ribeiro 62 & HG Dantas / H Lima et al. 2796,RB / RB / RB,RB 29706 / RB 406389 / RB 258410
Parapiptadenia rigida,Barduzzi et al.,Parapiptadenia rigida ,Parapiptadenia_rigida,Parapiptadenia,rigida,NA,Species,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPSC,NA
Parapiptadenia zehntneri,Caccavari - 2002 / Buril - 2010 / Ribeiro - 2018,Parapiptadenia zehntneri,Parapiptadenia_zehntneri,Parapiptadenia,zehntneri,NA,Species,16,oval,areolate&psilate,20,32.5,26,23.8,37.5,30.4,1,1.1,1.05,Harley 16198 / J.R.Lemos 262 / Bandeira 82 / Conceição 2536 / Guedes 16085,"RB / IPA , HUEFS / HUEFS / HUEFS / HUEFS","RB 196355 / IPA 69464, HUEFS 95711 / HUEFS 19021 / HUEFS 127855 / HUEFS 170315"
Piptadenia adiantoides,Barduzzi et al. / Caccavari - 2002 / Ribeiro - 2018,Piptadenia adiantoides,Piptadenia_adiantoides,Piptadenia,adiantoides,NA,Species,8&12,oval,psilate,12.255,24,18.975,18,26,22.59,0.467,0.635,0.551,V. C. Souza 29980 / G. Hatschbach 47692 / Lopes 792 / Oliveira 599 / Pirani 5029,ESA / RB / HUEFS / HUEFS / HUEFS,ESA 88363 / RB 226098 / HUEFS 111028 / HUEFS 45655 / HUEFS 68930
Piptadenia floribunda,Caccavari - 2002,Piptadenia floribunda ,Piptadenia_floribunda,Piptadenia,floribunda,NA,Species,16,elliptical,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,Mori & Bolten 8463,K,NA
Piptadenia gonoacantha,Caccavari - 2002,Piptadenia gonoacantha ,Piptadenia_gonoacantha,Piptadenia,gonoacantha,NA,Species,12,oval,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,De Souza 15,RB,NA
Piptadenia irwinii,Ribeiro - 2018,Piptadenia irwinii,Piptadenia_irwinii,Piptadenia,irwinii,NA,Species,16,NA,psilate,15,25,18.733,17.5,25,23.133,1,1,1,Jardim 3303 / Queiroz 12652 / Queiroz 12887,HUEFS / HUEFS / HUEFS,CEPEC 89901 / HUEFS 118159 / HUEFS 118384
Piptadenia paniculata,Barduzzi et al.,Piptadenia paniculata ,Piptadenia_paniculata,Piptadenia,paniculata,NA,Species,16,NA,NA,24.103,27.08,25.699,30.91,42.08,35.592,0.418,0.669,0.544,H. C. Lima 4357,ESA,NY 1144695
Piptadenia stipulacea,Caccavari - 2002 / Buril - 2010,Piptadenia stipulacea,Piptadenia_stipulacea,Piptadenia,stipulacea,NA,Species,12,elliptical&oval,areolate,17.5,21.2,19.3,22.5,30,23.4,1,1,1,Collares et Dutra 140 / E. Córdula 261 / Y. Melo 183,RB / UFP / UFP,RB 233898 / UFP 47440 / UFP 47436
Pityrocarpa brenanii,Barduzzi et al.,Pseudopiptadenia brenanii,Pityrocarpa_brenanii,Pityrocarpa,brenanii,NA,Species,12&16,NA,NA,19.248,37.5,27.993,27.5,47.5,33.759,0.233,0.467,0.35,A. C. Sevilha 6195 / Cardoso 581 / Guedes 16722 / Neves 263,CEN / HUEFS / HUEFS / HUEFS,CEN 103168 / HUEFS 96970 / HUEFS 159209 / HUEFS 162090
Pityrocarpa inaequalis,Caccavari - 2002,Pseudopiptadenia inaequalis ,Pityrocarpa_inaequalis,Pityrocarpa,inaequalis,NA,Species,12,oval,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,M. de Lima 2293,RB,NA
Pityrocarpa leptostachya,Barduzzi et al.,Pseudopiptadenia leptostachya ,Pityrocarpa_leptostachya,Pityrocarpa,leptostachya,NA,Species,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D. Sucre 7380,ESA,ESA 116275
Pityrocarpa moniliformis,Buril - 2010 / Ribeiro - 2018 / Guinet & Caccavari - 1992,Pityrocarpa moniliformis / Stryphnodendron consimile ,Pityrocarpa_moniliformis,Pityrocarpa,moniliformis,NA,Species,8,elliptical&oval,psilate&verrucate,13,34.1,18.25,17,30.8,21.817,1,1,1,M.T. Vital 72 / E. Córdula 24 / Eiten 10840 / Ferreira 17 / Melo 7518 / Ramalho 52,UFP / UFP / HUEFS / HUEFS / HUEFS / RFA,UFP 47448 / UFP 47441 / HUEFS 146824 / HUEFS 118108 / HUEFS 157870 / RFA 17173
Pityrocarpa obliqua,Caccavari - 2002 / Ribeiro - 2018,Piptadenia obliqua subs. obliqua / Pityrocarpa obliqua subs. brasiliensis ,Pityrocarpa_obliqua,Pityrocarpa,obliqua,NA,Species,8&16,oval,areolate,22.5,27.5,26,27.5,35,30.6,1,1,1,Hinton 10321 / Carneiro-Torres 310,K / HUEFS,HUEFS 105931
Pityrocarpa obliqua subsp. brasiliensis,Ribeiro - 2018,Pityrocarpa obliqua subs. brasiliensis ,Pityrocarpa_obliqua_brasiliensis,Pityrocarpa,obliqua,brasiliensis,Subspecies,16,NA,areolate,22.5,27.5,25.5,25,37.5,32.15,NA,NA,NA,Queiroz 12903 / Silva-Castro 901,HUEFS / HUEFS,HUEFS 118400 / HUEFS 105930
Pityrocarpa schumanniana,Caccavari - 2002,Pseudopiptadenia schumanniana ,Pityrocarpa_schumanniana,Pityrocarpa,schumanniana,NA,Species,16,oval,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,M. P. M. de Lima et al. 27,RB,NA
Senegalia nigrescens,Kenrick & Knox - 1982,Senegalia nigrescens ,Senegalia_nigrescens,Senegalia,nigrescens,NA,Species,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stryphnodendron adstringens,Guinet & Caccavari - 1992 / Barduzzi et al.,Stryphnodendron adstringens,Stryphnodendron_adstringens,Stryphnodendron,adstringens,NA,Species,16,elliptical&oval,verrucate,20.046,26.361,23.114,24.6,38.269,31.678,0.202,1,0.605,"Assis 298 / Glaziou 21030 / Hammar 5602 / Maguire et al. 56523 / V. C. Souza 21319, L. Capellari Jr., J. Paula-Souza, F. F. Mazine",RB / P / RFA / NY / ESA,RB 226406 / P02734292 / RFA 19677 / NY 00934670 / ESA 48922
Stryphnodendron cristalinae,Guinet & Caccavari - 1992,Stryphnodendron cristalinae ,Stryphnodendron_cristalinae,Stryphnodendron,cristalinae,NA,Species,16,elliptical&oval,verrucate,27,27,27,34.1,34.1,34.1,0.8,1.3,1.05,Heringer & Rizzini 11128,MG,NA
Stryphnodendron gracile,Guinet & Caccavari - 1992,Stryphnodendron gracile ,Stryphnodendron_gracile,Stryphnodendron,gracile,NA,Species,16,elliptical&oval,verrucate,34.1,34.1,34.1,30.8,30.8,30.8,1,1,1,Heringer 7369 / Heringer et al. 7361,RB / RB,NA
Stryphnodendron platyspicum,Guinet & Caccavari - 1992 / Barduzzi et al.,Stryphnodendron platyspicum / Stryphnodendron pumillum ,Stryphnodendron_platyspicum,Stryphnodendron,platyspicum,NA,Species,16,elliptical&oval,verrucate,19.052,25.5,21.277,26.36,34.083,31.854,0.209,1.3,0.755,Glaziou 21031 / Irwin et al. 8017 / Martinelli et al. 7419 / Ratter et al. 4222 / G. Pereira-Silva 5558,MPU / NY / RB / K / ESA,R-Tipos 8377 (Glaziou 21031) / UB 40264 (Martinelli et al. 7419) / UB 40271 (Ratter et al. 4222) / CEN 43846
Stryphnodendron polyphyllum,Guinet & Caccavari - 1992,Stryphnodendron polyphyllum / Stryphnodendron polyphyllum var. villosum ,Stryphnodendron_polyphyllum,Stryphnodendron,polyphyllum,NA,Species,16,elliptical&oval,psilate&verrucate,24.2,24.2,34.1,24.6,36.6,32.4,0.8,1,0.9,Macedo 528 / Martius 1102 / Pereira et al. 9510  / Dobereiner 74 (var. villosum) / Miers s.n. (var. villosum),US / BR / RFA / RFA / P,RFA 5431 (Dobereiner 74) / P02735168 (Miers s.n.)
Stryphnodendron polyphyllum var. villosum,Guinet & Caccavari - 1992,Stryphnodendron humile ,Stryphnodendron_polyphyllum_villosum,Stryphnodendron,polyphyllum,villosum,Variety,16,elliptical&oval,psilate&verrucate,23.4,23.4,34.1,31,31,31,0.8,1,0.9,Heringer 7783,RFA,RFA 18438
Vachellia farnesiana,Barduzzi et al.,Vachellia farnesiana ,Vachellia_farnesiana,Vachellia,farnesiana,NA,Species,16,NA,NA,29.721,39.99,36.244,35.903,42.614,39.587,0.861,1.476,1.169,J. Paula-Souza 7838,ESA,ESA 98949
